File	Relation	SNum	Sentence
EBA1415_KNKC_1_CB_ES-05410	O	1	Coral and zooxanthellae depend an each other in order to live.
EBA1415_KNKC_1_CB_ES-05410	R-7-50	2	If the coral dies, or gets bleached, then the zooxanthellae dies.
EBA1415_KNKC_1_CB_ES-05410	O	3	Or the other way around.
EBA1415_KNKC_1_CB_ES-05410	O	4	In the text Shifting Trade Winds, it talks about how sometimes water temperature can rise anywhere from 3 degrees F to 10 degrees F.
EBA1415_KNKC_1_CB_ES-05410	R-3-1	5	And another source states how when the water temperature rises, the trade winds weaken.
EBA1415_KNKC_1_CB_ES-05410	O	6	When trade winds weaken, sea levels rises inchess to feet.
EBA1415_KNKC_1_CB_ES-05410	O	7	Which is bad for coral and zooxanthellae because coral reefs need to be in shallow waters so the zooxanthellae can get light for photosynthesis.
EBA1415_KNKC_1_CB_ES-05410	O	8	If the zooxanthellae can't get a light source because the water has risen too high then they can't through the process of photosynthesis.
EBA1415_KNKC_1_CB_ES-05410	R-5B-50	9.1	Which can affect the coral because if the zooxanthellae doesnt give the coral the sun energy that it needs, the coral will lose its color, which will result in the zooxanthellae dying.
EBA1415_KNKC_1_CB_ES-05410	R-50-7	9.2	Which can affect the coral because if the zooxanthellae doesnt give the coral the sun energy that it needs, the coral will lose its color, which will result in the zooxanthellae dying.
EBA1415_KNKC_1_CB_ES-05410	R-1-50	10	So shifitng trade is what leads to the differences in rates of coral bleaching. //
EBA1415post_WSKT_1_CB_ES-05486	O	11	Corals are invertebrate animals living together in colonies in shallow oceans these invertebrate animals that make up corals are called polyps.
EBA1415post_WSKT_1_CB_ES-05486	O	12	Corals + polyps have a symbiotic relationship where the algae or polyps live in the coral.
EBA1415post_WSKT_1_CB_ES-05486	O	13	They give some food, from which they make from photosynthesis, to the coral.
EBA1415post_WSKT_1_CB_ES-05486	O	14	They also give corals their color./
EBA1415post_WSKT_1_CB_ES-05486	O	15	However, corals have been substainining physical damage which is bad because the algae depends on the coral to stay healthy.
EBA1415post_WSKT_1_CB_ES-05486	O	16	To stay healthy a coral needs a constant tempeture in the water (70-85o), they need to be in salty and shallow water, and to be able to perform photosynthesis.
EBA1415post_WSKT_1_CB_ES-05486	O	17	A specific phyiscal that has been affecting corals is coral bleaching.
EBA1415post_WSKT_1_CB_ES-05486	O	18	Coral bleaching is a phenomenon in which coral loses it's color.
EBA1415post_WSKT_1_CB_ES-05486	R-3-50	19	Coral bleaching can be led to by the rise of water tempeture.
EBA1415post_WSKT_1_CB_ES-05486	R-3-1	20	According to the graph "Trade Winds + coral Bleaching" higher water temperatures causes weaker trade winds.
EBA1415post_WSKT_1_CB_ES-05486	O	21	If the trade winds become weaker than that affects the climate making it hotter.
EBA1415post_WSKT_1_CB_ES-05486	R-3-4	22	When this occurs, it makes it harder for corals to survive because the water tempeture affects how much Co2(Carbon Dioxide) is in the water.
EBA1415post_WSKT_1_CB_ES-05486	R-4-5	23.1	This is a problem because corals need co2 in order to go through photosynthesis.
EBA1415post_WSKT_1_CB_ES-05486	R-5-5B	23.2	This is a problem because corals need co2 in order to go through photosynthesis.
EBA1415post_WSKT_1_CB_ES-05486	R-5-5B	24	Corals recieve 50% to 95% of their energy from this.//
EBA1415_KYNS_4_CB_ES-05388	O	25	The differences between rates to coral bleaching or at least what leads to it would be through out the years on this graph it shows 1980-2006 having a low mild and moderate but it gets really high when it reaches severe in the year 1998.
EBA1415_KYNS_4_CB_ES-05388	O	26	What leads coral to bleach is depend on the water or even wind.
EBA1415_KYNS_4_CB_ES-05388	R-4-50	27	If the coral has a low CO2 than it will bleach or not stay it's color.
EBA1415_KYNS_4_CB_ES-05388	O	28	In the text it states "The coral provides 50% of engry or at least needs that much.
EBA1415_KYNS_4_CB_ES-05388	O	29	Another thing about the wind.
EBA1415_KYNS_4_CB_ES-05388	R-2-3	30	Is that if the wind blows to the western Pacific than the water gets colder.
EBA1415_KYNS_4_CB_ES-05388	O	31	Meaning that water can damage the coral.
EBA1415_KYNS_4_CB_ES-05388	O	32	The rates of coral bleaching is that "16% of the world's coral reefs die."/
EBA1415_KYNS_4_CB_ES-05388	O	33	The difference in the rates of how the rates of coral bleaching is low because coral and zooxanthellae go well with each other.
EBA1415_KYNS_4_CB_ES-05388	O	34	In the text it states "This is because 		Ran out time //
EBA1415_KYLS_5_CB_ES-05647	R-3-50	35	Some examples that leads ti rates of coral bleaching is mostly because of the water temperatures that change in the Pacific Ocean where many corals live in.
EBA1415_KYLS_5_CB_ES-05647	R-3-50	36.1	The reason why coral reefs are 'bleach' because when the water temperature or salt level is low it depends much on the algae called zooxanthellae.
EBA1415_KYLS_5_CB_ES-05647	R-13-50	36.2	The reason why coral reefs are 'bleach' because when the water temperature or salt level is low it depends much on the algae called zooxanthellae.
EBA1415_KYLS_5_CB_ES-05647	O	37	The algae has a process of photosynthesis that they feed off of corals that keeps them alive and gives corals their color.
EBA1415_KYLS_5_CB_ES-05647	R-3-7	38	if the the water temperatures do go down then the algae dies that feeds the coral, meaning the corals don't get food which them into starvation and then later on they lose their color that is coral bleaching.
EBA1415_KYLS_5_CB_ES-05647	R-3-50	39	In the charts you can see how in the first chart from 1998 the water temperature increase and at the bottom of the 2nd chart you can see how in 1998 coral bleaching happen dramaticly due to the water's temperature.
EBA1415_KYLS_5_CB_ES-05647	R-1-50	40	Another difference that impacts rates of coral bleching is the shifting trade winds.
EBA1415_KYLS_5_CB_ES-05647	R-1-3	41.1	The reasons is if the winds weaken where the Pacific ocean is then the sea level's temperature increases and effect the whole process of corals surviving. //
EBA1415_KYLS_5_CB_ES-05647	R-3-50	41.2	The reasons is if the winds weaken where the Pacific ocean is then the sea level's temperature increases and effect the whole process of corals surviving. //
EBA1415_SERS_1516_CB_ES-05110	O	42	What leads to differences in the rates at coral bleachings, is where corals starts to loses their color and starts to camofludge in the sea water because of the sand waters.
EBA1415_SERS_1516_CB_ES-05110	O	43	Then they also move around the world to change colors because at the temperatures.
EBA1415_SERS_1516_CB_ES-05110	O	44	Then on the graph it shows that in "1998" there was coral bleaching that was severe.
EBA1415_SERS_1516_CB_ES-05110	O	45	Zooxanthallae cannot live out side this coral's body is because it can die by the bleach coral, because of the relationship is bad.
EBA1415_SERS_1516_CB_ES-05110	O	46	Then coral's ejects their posion to kill other zooxanthellae.
EBA1415_SERS_1516_CB_ES-05110	O	47	Ran out of time  //
EBA1415post_TWNB_2_CB_ES-04977	O	48	I think that the differences are that coral bleaching is that their different from other coral plants because that it looks different, it in the water differently.
EBA1415post_TWNB_2_CB_ES-04977	O	49	Another difference is that coral bleaching is most noticeable in the pacific ocean.
