File	Relation	SNum	Sentence
EBA1415_TFBM_2_CB_ES-05548	O	1	No essay  //
EBA1415_TRJA_11_CB_ES-06110	O	2	Somethings that lead to the differences are.. it is a problem with serious impacto n the world's coral reefs.
EBA1415_TRJA_11_CB_ES-06110	O	3	Some have been bleach all white it is a phenomenon which means coral loose it color.
EBA1415_TRJA_11_CB_ES-06110	O	4	Coral bleaching is most noticeable in the Pacific Ocean.
EBA1415_TRJA_11_CB_ES-06110	O	5	That ocean covers about 1/3 of the surface of the entire globe and contains double the amount of water found in the Atlantic Ocean.
EBA1415_TRJA_11_CB_ES-06110	O	6	The invertebrate animals live together in Colonies and tend to stay in one palce.
EBA1415_TRJA_11_CB_ES-06110	R-7-50	7	The different type of algae living within the coral polyps give the corals their varying colors.
EBA1415_RHSG_2_CB_ES-05081	R-1-50	8	There are several things that cause coral bleaching (1) would be the shifting in trade winds.
EBA1415_RHSG_2_CB_ES-05081	O	9	The trade winds make sea water rise.
EBA1415_RHSG_2_CB_ES-05081	R-1-3	10	The trade winds also change water temperature
EBA1415_RHSG_2_CB_ES-05081	O	11	(2) Coral is made up of small animals called polyps.
EBA1415_RHSG_2_CB_ES-05081	O	12	Coral reefs are only found in clear, shallow, tropical waters.
EBA1415_RHSG_2_CB_ES-05081	O	13	They live there because the algae that live in coral tissues need light for photosynthesis.
EBA1415_RHSG_2_CB_ES-05081	O	14	The algae use energy from sunlight to
EBA1415_RHSG_2_CB_ES-05081	O	15	Ran out of time   //
EBA1415_KYNS_4_CB_ES-05390	R-1-50	16	What lead to differences in the rates of coral bleaching are many things such as shifting trade winds, photosynthesis, and zooxanthallae. /
EBA1415_KYNS_4_CB_ES-05390	O	17	Coral bleaching is when a coral loses its color.
EBA1415_KYNS_4_CB_ES-05390	O	18	One cause is shifting trade winds.
EBA1415_KYNS_4_CB_ES-05390	R-1-2	19	Trade winds travel from east to west, causing warm waters to travel westward and the cold water to rise in the east.
EBA1415_KYNS_4_CB_ES-05390	O	20	Tradewinds constantly shift, causing major changes in climat.
EBA1415_KYNS_4_CB_ES-05390	R-1-3	21.1	Weaker trade winds cause higher water temperatures, which increases coral bleaching.
EBA1415_KYNS_4_CB_ES-05390	R-3-50	21.2	Weaker trade winds cause higher water temperatures, which increases coral bleaching.
EBA1415_KYNS_4_CB_ES-05390	O	22	In order for coral to survive, it needs photosynthesis.
EBA1415_KYNS_4_CB_ES-05390	O	23	Algae lives in the coral tissues, called zooxanthellae.
EBA1415_KYNS_4_CB_ES-05390	O	24	Coral and zooxanthellae need each other to survive.
EBA1415_KYNS_4_CB_ES-05390	R-4-5	25	Zooxanthellae gets energy fron the sun, combines it with CO2 and H2O to make oxygen and sugars.
EBA1415_KYNS_4_CB_ES-05390	R-4-5	26	During this process, carbon is passed to the coral in forms of sugar.
EBA1415_KYNS_4_CB_ES-05390	R-3-5	27	In order for coral to survive, it needs water temperature between 70-85 degrees F so photosynthesis can happen.
EBA1415_KYNS_4_CB_ES-05390	R-3-4	28	When water temperature increases, the amount of CO2 decreases.
EBA1415_KYNS_4_CB_ES-05390	R-3-14	29.1	When the water temperature is constantly changing due to tradewinds, that affects the balance the corals need to stay healthy. /
EBA1415_KYNS_4_CB_ES-05390	R-1-3	29.2	When the water temperature is constantly changing due to tradewinds, that affects the balance the corals need to stay healthy. /
EBA1415_KYNS_4_CB_ES-05390	R-14-50	30.1	Coral bleaching happens when the coral is unhealthy, the cause of this is due to the ejection or death of the zooxanthellae.
EBA1415_KYNS_4_CB_ES-05390	R-14-7	30.2	Coral bleaching happens when the coral is unhealthy, the cause of this is due to the ejection or death of the zooxanthellae.
EBA1415_KYNS_4_CB_ES-05390	R-1-3	31.1	Trade winds affect the balance of water temperature, which forces coral to eject the zooxanthellae.
EBA1415_KYNS_4_CB_ES-05390	R-3-7	31.2	Trade winds affect the balance of water temperature, which forces coral to eject the zooxanthellae.
EBA1415_KYNS_4_CB_ES-05390	O	32	Without the zooxanthellae, coral will not survive because it has no other way of geting the glucose it needs.
EBA1415_KYNS_4_CB_ES-05390	O	33	Without the coral, the zooxanthellae will also die because the coral is its protection.
EBA1415_KYNS_4_CB_ES-05390	R-7-14	34.1	When the zooxanthellae dies or is ejected, the coral becomes unhealthy and this is what leads to coral bleaching. //
EBA1415_KYNS_4_CB_ES-05390	R-14-50	34.2	When the zooxanthellae dies or is ejected, the coral becomes unhealthy and this is what leads to coral bleaching. //
EBA1415_TWPK_3_CB_ES-05049	O	35	The main thing that was mentioned alot was the levels of (CO2) and (H2O) also photosynthesis.
EBA1415_TWPK_3_CB_ES-05049	R-4-50	36	The coral basically lives off of all those resource and when ever or how ever any of the (CO2) or (H2O) levels changed the coral would easily die.
EBA1415_TWPK_3_CB_ES-05049	O	37	Also the shift and changing in the wind also effected the coral it shifted sometimes benefitting the coral but sometimes not based off how the wind movement was.
EBA1415_TWPK_3_CB_ES-05049	R-13-50	38	The coral was also sensitive like if the water was to get salty that would hurt the coral
EBA1415_TWPK_3_CB_ES-05049	O	39	Ran out of time   //
EBA1415post_TWNB_3_CB_ES-05893	O	40	Coral bleaching can happen depending in the enviorment.
EBA1415post_TWNB_3_CB_ES-05893	O	41	Coral bleaching is mostly found in the Pacific Ocean.
EBA1415post_TWNB_3_CB_ES-05893	O	42	People that noticed coral bleaching would keep record if it were mild, moderata, or servire.
EBA1415post_TWNB_3_CB_ES-05893	O	43	In 1998 coral bleaching was very wich was about the same time their were weaker trade winds.
EBA1415post_TWNB_3_CB_ES-05893	R-5-50	44	Coral need photoosynthesis because without it the coral will die.
EBA1415post_TWNB_3_CB_ES-05893	O	45	Coral bleaching happens when the coral does not have any air or oxygen.
EBA1415post_TWNB_3_CB_ES-05893	O	46	With out photosynthesis the coral could get cold and die.
EBA1415post_TWNB_3_CB_ES-05893	R-3-5	47	Coral need water temperatures between 70-85oF because the process of photosynthesis is sensitive to changes in water temperature.
EBA1415post_TWNB_3_CB_ES-05893	R-7-50	48	Without zooxanthallae coral will die.
EBA1415post_TWNB_3_CB_ES-05893	O	49	And without coral zooxanthellae will die.
EBA1415post_TWNB_3_CB_ES-05893	R-7-50	50	During bleaching corals turn white due to the ejection or death of the zooxanthallae algae.
EBA1415post_TWNB_3_CB_ES-05893	O	51	A massive coral bleaching event happened in 1998.
EBA1415post_TWNB_3_CB_ES-05893	O	52	This event resulted in the death of 16% of the world's coral reefs.
EBA1415post_TWNB_2_CB_ES-04972	O	53	The more coral bleaching the serious it gets.
EBA1415post_TWNB_2_CB_ES-04972	O	54	Less coral bleaching the less the serious.
EBA1415post_TWNB_2_CB_ES-04972	O	55	If less coral bleaching its not that big of a deal.//
EBA1415_TFMV_3_CB_ES-05848	R-6-50	56	The main cause of Coral Bleaching is because of stress.
EBA1415_TFMV_3_CB_ES-05848	R-6-5	57	When corals have to much stress, it is hard to continue thier photosynthesis.
EBA1415_TFMV_3_CB_ES-05848	O	58	They dont get enough nutrients there force they lose most if not all of thier color.
