File	Relation	SNum	Sentence
EBA1415_TFHC_1_SC_ES-05947	O	1	This essay is about skin damage, latitude and direct sunlight, skin cancer and latitude, your skin protects you and about sunburns.
EBA1415_TFHC_1_SC_ES-05947	O	2	The skin damage is on our bodies that have numerous skin disorders, conditions, and diseases.
EBA1415_TFHC_1_SC_ES-05947	O	3	There are three main varieties of skin cancer basal cell carcinoma, squamous cell carcinoma, and malignant melanoma.
EBA1415_TFHC_1_SC_ES-05947	O	4	That would be what skin damage is.
EBA1415_TFHC_1_SC_ES-05947	R-1-2	5	Latitude and direct sunlight would be the colser you are to the equator the more consistent direct sunlight there will be.
EBA1415_TFHC_1_SC_ES-05947	R-1-2	6	The most yearound direct sunlight occurs between the topics of cancer 23oN and capricorn 23oS.
EBA1415_TFHC_1_SC_ES-05947	O	7	That would be latitude and direct sunlight.
EBA1415_TFHC_1_SC_ES-05947	O	8	Your skin protects you is that it acts as a waterpoorf insulating shield.
EBA1415_TFHC_1_SC_ES-05947	R-12-3	9	Your skin does have some denses against solar radiation though.
EBA1415_TFHC_1_SC_ES-05947	O	10	That would be your skin protects you.
EBA1415_TFHC_1_SC_ES-05947	O	11	Sunburn can happen when the body directs blood vins to the skin to try to repair or remove damaged cells.
EBA1415_TFHC_1_SC_ES-05947	O	12	There are severe sunburn is called sun poisoning.
EBA1415_TFHC_1_SC_ES-05947	O	13	Sun poisoning can lead to infection and shock.
EBA1415_TFHC_1_SC_ES-05947	O	14	In extreme cases, it can never cause death to the body.
EBA1415_TFHC_1_SC_ES-05947	O	15	That would be sunburn.
EBA1415_TFHC_1_SC_ES-05947	O	16	That would be all about your body and about the sun that effects your body.
EBA1415_TFHC_1_SC_ES-05947	O	17	But there are many things that can happen to your body that you don't even know about.
EBA1415_TFHC_1_SC_ES-05947	O	18	I do have a question what can skin cance really do to you if you don't talk to a doctor about your problem.
EBA1415_TFHC_1_SC_ES-05947	O	19	That is all I will say about Skin's and Sunlight/Sunburns.//
EBA1415_SDMK_6_SC_ES-06292	O	20	Every person is at some risk of developing skin cancer.
EBA1415_SDMK_6_SC_ES-06292	O	21	In the U.S. skin cancer is the most common form of skin cancer.
EBA1415_SDMK_6_SC_ES-06292	O	22	There are three main types of skin cancer: basal cell carcinoma, squamous cell carcinoma, and malignant melanoma.
EBA1415_SDMK_6_SC_ES-06292	O	23	Squamous cell carcinomas and basal make up 95% of skin cancer cases.
EBA1415_SDMK_6_SC_ES-06292	O	24	Malignant melanoma occurs in the other 5% but is responsible for most deaths from skin cancer.
EBA1415_SDMK_6_SC_ES-06292	R-1-50	25	Where you are located can tell how much of a risk you are for skin cancer.
EBA1415_SDMK_6_SC_ES-06292	R-1-2	26.1	If you are between the Tropics of Cancer and capricorn, due to the amount of direct sunlight in the 50 areas, the amount of UVb radiation is also high.
EBA1415_SDMK_6_SC_ES-06292	R-2-3	26.2	If you are between the Tropics of Cancer and capricorn, due to the amount of direct sunlight in the 50 areas, the amount of UVb radiation is also high.
