File	Relation	SNum	Sentence
EBA1415_TFHC_4_SC_ES-05825	O	1	The lead to skin cancer differ on a few things, one is the type of cancer as it says in the background "Then are three main types of skin cancers" meaning that there must be three different causes especialy when only one kind of cancer is 5 percent of all skin cancer and is also the deadly est.
EBA1415_TFHC_4_SC_ES-05825	R-1-50	2.1	Some skin cancer can be caused by the location of where you are and how directly the sun hits that location.
EBA1415_TFHC_4_SC_ES-05825	R-1-2	2.2	Some skin cancer can be caused by the location of where you are and how directly the sun hits that location.
EBA1415_TFHC_4_SC_ES-05825	R-1-2	3.1	The reason the sun matters is because of the direct uvb rotation hiting that location.
EBA1415_TFHC_4_SC_ES-05825	R-2-3	3.2	The reason the sun matters is because of the direct uvb rotation hiting that location.
EBA1415_TFHC_4_SC_ES-05825	R-5-50	4	Another cause of skin cancer is sunbrun.
EBA1415_TFHC_4_SC_ES-05825	R-5-50	5	While sunbrun isn't much to worie about you can get skin cancer from the severity of the brun.//
EBA1415_TFHC_4_SC_ES-05825	O	6	Didn't finished
EBA1415_WSAL_2_SC_ES-05359	R-2-50	7.1	There are two main reasons why people can develop skin cancer.
EBA1415_WSAL_2_SC_ES-05359	R-3-50	7.2	There are two main reasons why people can develop skin cancer.
EBA1415_WSAL_2_SC_ES-05359	R-2-50	8.1	It's from radiation and direct sunlight.
EBA1415_WSAL_2_SC_ES-05359	R-3-50	8.2	It's from radiation and direct sunlight.
EBA1415_WSAL_2_SC_ES-05359	R-2-50	9	Or just if you receive too much sunlight in general.
EBA1415_WSAL_2_SC_ES-05359	R-1-2	10	I read that the closer you are to the Equator, the more sunlight it will be.
EBA1415_WSAL_2_SC_ES-05359	R-1-50	11	Also, from looking at the chart, it showed that the farther you are, the less people had skin cancer.
EBA1415_WSAL_2_SC_ES-05359	R-3-50	12	Also, radiation palys a part in skin cancer and a person developing it.
EBA1415_WSAL_2_SC_ES-05359	R-3-4	13	If you have a harmful exposure to UVb radiation, it can become damaging to the skin.
EBA1415_WSAL_2_SC_ES-05359	R-3-4	14.1	If the skin is getting too much radiation or sunlight, it causes damage to the skin cells.
EBA1415_WSAL_2_SC_ES-05359	R-2-4	14.2	If the skin is getting too much radiation or sunlight, it causes damage to the skin cells.
EBA1415_WSAL_2_SC_ES-05359	R-5-50	15.1	Sunburn plays a part in skin cancer also because if your skin is damaged too much, then it can't help the damaged cells be replaced with healthier ones.
EBA1415_WSAL_2_SC_ES-05359	R-6-50	15.2	Sunburn plays a part in skin cancer also because if your skin is damaged too much, then it can't help the damaged cells be replaced with healthier ones.
EBA1415_WSAL_2_SC_ES-05359	R-4-6	15.3	Sunburn plays a part in skin cancer also because if your skin is damaged too much, then it can't help the damaged cells be replaced with healthier ones.
EBA1415_WSAL_2_SC_ES-05359	R-6-50	16	Also, if the damaged skin cells aren't replaced, then that can result the skin developing skin cancer./
EBA1415_WSAL_2_SC_ES-05359	O	17	These are some ways the body can develop skin cancer.//
EBA1415_RDCS_1_SC_ES-4700	O	18	There are 3 main differences of skin cancer.
EBA1415_RDCS_1_SC_ES-4700	O	19	Basal cell carcinoma, squamous cell carcinoma, and malignant melanoma.
EBA1415_RDCS_1_SC_ES-4700	O	20	With all of these diseases, Basal and Squamous cells carcinomas make up approximately 95 percent of skin cancer cases.
EBA1415_RDCS_1_SC_ES-4700	R-2-50	21	But malignant melanoma is the mostly taken for the big sum of deaths from skin cancer.
EBA1415_RDCS_1_SC_ES-4700	R-2-50	22.1	And some times it just may happen wether or not if you even the type of location your at cause of the direct sunlight from the calm to most of the extreme levels of the year round direct sunlight.
EBA1415_RDCS_1_SC_ES-4700	R-1-2	22.2	And some times it just may happen wether or not if you even the type of location your at cause of the direct sunlight from the calm to most of the extreme levels of the year round direct sunlight.
EBA1415_RDCS_1_SC_ES-4700	O	23	So like this includes the northern third of australia and some southern parts of the us.
EBA1415_RDCS_1_SC_ES-4700	R-1-50	24	and most of the relationship Between skin cancer incidence per 100,00 population but it does matter if its in age but then the latitude among in Northern male people in the us just alone.
EBA1415_RDCS_1_SC_ES-4700	O	25	and then problems start to come over when there is excessive exposure to uvb radiation.
EBA1415_RDCS_1_SC_ES-4700	R-12-3	26	and there is a down side to actually to try and heal it of protection from uvb radiation.//
EBA1415_LRBL_4_SC_ES-05167	R-3-50	27	Skin cancer is caused by uvb radiation.
EBA1415_LRBL_4_SC_ES-05167	R-3-6	28	If you expose yourself a normal amount of time to uvb radiation, our bodies will repair this typical amount of damage.
EBA1415_LRBL_4_SC_ES-05167	R-3-5	29	However problems arise when there is excessive exposure to uvb radiation.
EBA1415_LRBL_4_SC_ES-05167	R-3-5	30	If this happens, you will get sunburn.
EBA1415_LRBL_4_SC_ES-05167	O	31	"sunburns frequenbtly include painful burning sensations."
EBA1415_LRBL_4_SC_ES-05167	O	32	Severe sunburn is called sun poisoning.
EBA1415_LRBL_4_SC_ES-05167	O	33	Sun poisoning can lead to infection and shock.
EBA1415_LRBL_4_SC_ES-05167	R-5-6	34.1	"sunburned skin cells that aren't removed can result in skin cancer."
EBA1415_LRBL_4_SC_ES-05167	R-6-50	34.2	"sunburned skin cells that aren't removed can result in skin cancer."
EBA1415_LRBL_4_SC_ES-05167	O	35	Normally, abnormal or damaged cells are cleared away and replaced with new cells, but this doesn't always happen.
EBA1415_LRBL_4_SC_ES-05167	R-5-6	36	When sunburns are severe, it becomes less likely that the damaged skin cells will be removed.
EBA1415_LRBL_4_SC_ES-05167	R-1-2	37	Also, the closer you are to the equator, the more consistent direct sunlight there will be.
EBA1415_LRBL_4_SC_ES-05167	O	38	This means that people who are closer to the equator need to be aware of the dangers of direct sunlight.
EBA1415_LRBL_4_SC_ES-05167	O	39	In conclusion, those are the reasons of what leads to differences in the risks of developing skin cancer.
EBA1415_LRBL_4_SC_ES-05167	R-1-50	40	The more closer you are to the equator, the more of a risk you are to developing skin cancer.//
EBA1415_TFBM_1_SC_ES-05439	R-5-50	41.1	One way you can get skin cancer is from sun burn.
EBA1415_TFBM_1_SC_ES-05439	R-2-5	41.2	One way you can get skin cancer is from sun burn.
EBA1415_TFBM_1_SC_ES-05439	R-2-5	42	You get it from staying in the sun to long.
EBA1415_TFBM_1_SC_ES-05439	R-5-6	43.1	If sunburned skin arn't removed it can result in cancer.
EBA1415_TFBM_1_SC_ES-05439	R-6-50	43.2	If sunburned skin arn't removed it can result in cancer.
EBA1415_TFBM_1_SC_ES-05439	R-5-50	44	Suffering one bad sunburn case when you were a child can result in cancer.
EBA1415_TFBM_1_SC_ES-05439	O	45	While skin is very tough it can't completely protect your body from everything that is in the world.
EBA1415_KYLS_5_SC_ES-05667	R-5-50	46.1	There are many ways of risks of developing skin cancer.
EBA1415_KYLS_5_SC_ES-05667	R-2-50	46.2	There are many ways of risks of developing skin cancer.
EBA1415_KYLS_5_SC_ES-05667	R-2-50	47	The first risk is if you're under the sun too long.
EBA1415_KYLS_5_SC_ES-05667	R-2-50	48.1	It would be a bigger risk if you're close to the equator since thats were there is a lot of sunlight.
EBA1415_KYLS_5_SC_ES-05667	R-1-2	48.2	It would be a bigger risk if you're close to the equator since thats were there is a lot of sunlight.
