number,datetime,bert_model,hugging_face,max_len,epochs,batch_size,            optimizer,learning_rate,warmup,pretraining_model_id,pretraining_model_type,            cost_sensitivity,accuracy,macro_prec,macro_recall,macro_f1,macro_support,            weighted_prec,weighted_recall,weighted_f1,weighted_support,kfold,notes
1,2020-09-27 20:53 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,4,16,BertAdam,2.00E-05,0.1,8,both,0,0.734333628,0.504981003,0.504463808,0.436104163,2266,0.764618766,0.788999526,0.761820712,2109,0,100000 steps of verbatim BERT pretraining
2,2020-09-27 21:06 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,2e-05,  0.1,8,both,0,0.7608120035304501,0.5287645777438185,0.5396234616616483,0.5026341735137144,2266,  0.774096817990716,0.8120584079133302,0.7833181493376062,2123,0,100000 steps of verbatim BERT pretraining
3,2020-09-27 21:17 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,  0.1,8,both,0,0.7590467784642542,0.5755596521044273,0.5239755129043744,0.49786081897789847,2266,  0.7686446787425459,0.8285163776493256,0.7876146660410029,2076,0,100000 steps of verbatim BERT pretraining
4,2020-09-27 21:32 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,4,32,BertAdam,2e-05,  0.1,8,both,0,0.7091791703442188,0.4648916786233013,0.5099808075676662,0.4357096672882067,2266,  0.7542857888468995,0.7999004479840717,0.7659356499586027,2009,0,100000 steps of verbatim BERT pretraining
5,2020-09-27 21:44 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,32,BertAdam,2e-05,  0.1,8,both,0,0.7634598411297441,0.5311052388527319,0.4950981858823874,0.4799965883886622,2266,  0.76024170526873,0.8129699248120301,0.7782740322310124,2128,0,100000 steps of verbatim BERT pretraining
6,2020-09-27 21:54 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,2,32,BertAdam,2e-05,  0.1,8,both,0,0.6690203000882613,0.31843472629475855,0.5670443232007756,0.38501726723532265,2266,  0.734188232390414,0.8221258134490239,0.7665367536907598,1844,0,100000 steps of verbatim BERT pretraining
7,2020-09-27 22:08 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,3e-05,  0.1,8,both,0,0.6597528684907326,0.3480455378283866,0.6256666471292723,0.4267059191508156,2266,  0.7226906961173668,0.9355444305381727,0.8119975524348758,1598,0,100000 steps of verbatim BERT pretraining
8,2020-09-27 22:21 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,4e-05,  0.1,8,both,0,0.6504854368932039,0.6504854368932039,1.0,0.788235294117647,2266,  0.6504854368932039,1.0,0.788235294117647,1474,0,100000 steps of verbatim BERT pretraining
9,2020-09-27 22:34 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,5e-05,  0.1,8,both,0,0.6504854368932039,0.6504854368932039,1.0,0.788235294117647,2266,  0.6504854368932039,1.0,0.788235294117647,1474,0,100000 steps of verbatim BERT pretraining
10,2020-09-27 22:47 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,1e-05,  0.1,8,both,0,0.7828773168578994,0.5741174880330189,0.5732709538696451,0.555574283729674,2266,  0.7841089340094548,0.8344308560677328,0.8043190426007002,2126,0,100000 steps of verbatim BERT pretraining
11,2020-09-27 23:02 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,9e-06,  0.1,8,both,0,0.766548984995587,0.5969253252835469,0.5398309647128697,0.5301141922929378,2266,  0.7637959214686614,0.8255703422053232,0.7858349855579928,2104,0,100000 steps of verbatim BERT pretraining
12,2020-09-27 23:17 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,8e-06,  0.1,8,both,0,0.7780229479258606,0.632567835018865,0.627074842874665,0.5950443828748548,2266,  0.7892708110653677,0.8455635491606714,0.8105455347404121,2085,0,100000 steps of verbatim BERT pretraining
13,2020-09-27 23:31 CT,pretrained-bert-base-uncased,BertForSequenceClassification,128,3,16,BertAdam,7e-06,  0.1,8,both,0,0.7714033539276258,0.5864636312299292,0.5700751471985239,0.5309985924338404,2266,  0.7818726369833096,0.8276515151515151,0.7936084249041979,2112,0,100000 steps of verbatim BERT pretraining
14,2020-09-28 11:03 CT,SciBERT,BertForSequenceClassification,128,4,32,BertAdam,2e-06,  0.1,8,both,0,0.6827007943512798,0.48031852965791694,0.6406766568423098,0.5460625792691215,2266,  0.6834351668366229,0.9296875,0.7872795715945949,1664,0,100000 steps of verbatim BERT pretraining
