number,datetime,bert_model,hugging_face,max_len,epochs,batch_size,            optimizer,learning_rate,warmup,pretraining_model_id,pretraining_model_type,            cost_sensitivity,accuracy,macro_prec,macro_recall,macro_f1,macro_support,            weighted_prec,weighted_recall,weighted_f1,weighted_support,kfold,notes
0,2020-08-24 21:51 CT,pre-trained_models/biobert_v1.1_pubmed,BertForSequenceClassification,128,2,16,BertAdam,2.00E-05,0.1,none,none,0,0.733231123,0.595734492,0.572688097,0.551819826,2609,0.744804138,0.762759171,0.744326026,2508,0,Initial skin cancer dataset fine-tuning
1,2020-08-24 22:05 CT,pre-trained_models/biobert_v1.1_pubmed,BertForSequenceClassification,128,3,16,BertAdam,2.00E-05,0.1,none,none,0,0.730164814,0.587088789,0.54252384,0.545079641,2609,0.73600429,0.75415677,0.738362089,2526,0,Initial skin cancer dataset fine-tuning
2,2020-08-24 22:27 CT,pre-trained_models/biobert_v1.1_pubmed,BertForSequenceClassification,128,4,16,BertAdam,2.00E-05,0.1,none,none,0,0.736680721,0.576398621,0.575220421,0.548698663,2609,0.749514385,0.755800236,0.743280992,2543,0,Initial skin cancer dataset fine-tuning
3,2020-08-24 22:46 CT,pre-trained_models/biobert_v1.1_pubmed,BertForSequenceClassification,128,2,32,BertAdam,2.00E-05,0.1,none,none,0,0.732081257,0.61384689,0.597298087,0.565378024,2609,0.7438275,0.777054516,0.749992142,2458,0,Initial skin cancer dataset fine-tuning
4,2020-09-09 23:33 CT,pre-trained_models/biobert_v1.1_pubmed,BertForSequenceClassification,128,2,32,BertAdam,2.00E-05,0.1,none,none,0,0.903978577,0.903493117,0.904430303,0.903798803,2614,0.904414246,0.903978577,0.904034259,2614,0,Initial skin cancer dataset fine-tuning
5,2020-09-21 13:27 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8806426931905126,0.8808433425152093,0.8806426931905127,0.8806269701128321,2614,        0.8808433425152093,0.8806426931905126,0.8806269701128321,2614,0,Skin Cancer
6,2020-09-21 13:35 CT,biobert_v1.1_pubmed,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8523335883703137,0.8589920462373961,0.8523335883703137,0.8516456824800862,2614,        0.8589920462373961,0.8523335883703137,0.8516456824800862,2614,0,Skin Cancer
7,2020-09-21 13:41 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,32,BertAdam,2e-05,        0.1,none,none,0,0.5,0.5,1.0,0.6666666666666666,2614,        0.5,1.0,0.6666666666666666,1307,0,Skin Cancer
8,2020-09-21 13:46 CT,biobert_v1.1_pubmed,BertForSequenceClassification,128,2,32,BertAdam,2e-05,        0.1,none,none,0,0.779265493496557,0.80991120800765,0.779265493496557,0.7736703143346977,2614,        0.8099112080076502,0.779265493496557,0.7736703143346977,2614,0,Skin Cancer
9,2020-09-21 13:59 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,3,16,BertAdam,2e-05,        0.1,none,none,0,0.5,0.5,1.0,0.6666666666666666,2614,        0.5,1.0,0.6666666666666666,1307,0,Skin Cancer
10,2020-09-21 14:11 CT,biobert_v1.1_pubmed,BertForSequenceClassification,128,3,16,BertAdam,2e-05,        0.1,none,none,0,0.6553175210405509,0.7743958185097546,0.6553175210405509,0.6133716916939922,2614,        0.7743958185097546,0.6553175210405509,0.6133716916939922,2614,0,Skin Cancer
11,2020-09-21 14:20 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,3,32,BertAdam,2e-05,        0.1,none,none,0,0.5095638867635807,0.7524140594824256,0.5095638867635807,0.35424104802954903,2614,        0.7524140594824256,0.5095638867635807,0.35424104802954903,2614,0,Skin Cancer
12,2020-09-21 14:28 CT,biobert_v1.1_pubmed,BertForSequenceClassification,128,3,32,BertAdam,2e-05,        0.1,none,none,0,0.5,0.5,1.0,0.6666666666666666,2614,        0.5,1.0,0.6666666666666666,1307,0,Skin Cancer
13,2020-09-21 14:53 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8446824789594491,0.8652289583655108,0.8446824789594491,0.8424669165146679,2614,        0.8652289583655108,0.8446824789594491,0.8424669165146679,2614,0,Skin Cancer
14,2020-09-21 15:53 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8626625860749809,0.8645081195575429,0.8626625860749808,0.862488528206435,2614,        0.8645081195575428,0.8626625860749809,0.8624885282064348,2614,0,Skin Cancer
15,2020-09-21 18:01 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8722264728385616,0.8725413858056428,0.8722264728385616,0.872199465070309,2614,        0.8725413858056428,0.8722264728385616,0.8721994650703089,2614,0,Skin Cancer
16,2020-09-22 10:16 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8764345830145371,0.8786068222282931,0.8764345830145371,0.8762570907031091,2614,        0.8786068222282931,0.8764345830145371,0.8762570907031091,2614,0,Skin Cancer
17,2020-09-22 11:21 CT,scibert_scivocab_uncased,BertForSequenceClassification,128,2,16,BertAdam,2e-05,        0.1,none,none,0,0.8622800306044377,0.8627693155406535,0.8622800306044376,0.8622335775057637,2614,        0.8627693155406534,0.8622800306044377,0.8622335775057637,2614,0,Skin Cancer
